"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2629","Kolom First Name & Last Name saja","chromium","Tue Aug 05 10:51:52 WIB 2025","passed","Tue Aug 05 10:51:55 WIB 2025","","checkoutInformation\checkoutInformation.spec.js","",""
"","8388","Produk dapat dihapus dari Keranjang","chromium","Tue Aug 05 10:51:44 WIB 2025","passed","Tue Aug 05 10:51:52 WIB 2025","","cart\cart.spec.js","",""
"","5577","Judul Produk navigasi ke halaman Detail Product","chromium","Tue Aug 05 10:51:53 WIB 2025","passed","Tue Aug 05 10:51:59 WIB 2025","","checkoutOverview\checkoutOverview.spec.js","",""
"","3209","Sorting berdasarkan alfabet A-Z","chromium","Tue Aug 05 10:52:05 WIB 2025","passed","Tue Aug 05 10:52:08 WIB 2025","","products\products.spec.js","",""
"","2897","Judul Produk navigasi ke halaman Detail Produk","chromium","Tue Aug 05 10:52:06 WIB 2025","passed","Tue Aug 05 10:52:08 WIB 2025","","products\products.spec.js","",""
"","3926","Produk dapat ditambahkan ke dalam keranjang","chromium","Tue Aug 05 10:51:55 WIB 2025","passed","Tue Aug 05 10:51:59 WIB 2025","","detailProduct\detailProduct.spec.js","",""
"","3671","Menu Hamburger menampilkan Sidebar","chromium","Tue Aug 05 10:52:06 WIB 2025","passed","Tue Aug 05 10:52:09 WIB 2025","","sidebar\sidebar.spec.js","",""
"","4456","Tombol Back to Products navigasi ke halaman Products","chromium","Tue Aug 05 10:51:58 WIB 2025","passed","Tue Aug 05 10:52:03 WIB 2025","","detailProduct\detailProduct.spec.js","",""
"","5518","Tombol Cancel navigasi ke halaman Cart","chromium","Tue Aug 05 10:51:53 WIB 2025","passed","Tue Aug 05 10:51:58 WIB 2025","","checkoutInformation\checkoutInformation.spec.js","",""
"","3652","Login berhasil","chromium","Tue Aug 05 10:51:59 WIB 2025","passed","Tue Aug 05 10:52:03 WIB 2025","","login\login.spec.js","",""
"","3091","Kolom Last Name & Postal Code saja","chromium","Tue Aug 05 10:51:51 WIB 2025","passed","Tue Aug 05 10:51:54 WIB 2025","","checkoutInformation\checkoutInformation.spec.js","",""
"","3107","Tanpa username","chromium","Tue Aug 05 10:52:00 WIB 2025","passed","Tue Aug 05 10:52:03 WIB 2025","","login\login.spec.js","",""
"","2783","Produk dapat dihapus dari Keranjang","chromium","Tue Aug 05 10:52:03 WIB 2025","passed","Tue Aug 05 10:52:05 WIB 2025","","products\products.spec.js","",""
"","3527","Sorting berdasarkan alfabet Z-A","chromium","Tue Aug 05 10:52:05 WIB 2025","passed","Tue Aug 05 10:52:09 WIB 2025","","products\products.spec.js","",""
"","5329","Tombol Cancel navigasi ke halaman Products","chromium","Tue Aug 05 10:51:54 WIB 2025","passed","Tue Aug 05 10:52:00 WIB 2025","","checkoutOverview\checkoutOverview.spec.js","",""
"","7101","Tombol Back Home navigasi ke halaman Products","chromium","Tue Aug 05 10:51:44 WIB 2025","passed","Tue Aug 05 10:51:51 WIB 2025","","checkoutComplete\checkoutComplete.spec.js","",""
"","3694","Kolom First Name & Postal Code saja","chromium","Tue Aug 05 10:51:52 WIB 2025","passed","Tue Aug 05 10:51:55 WIB 2025","","checkoutInformation\checkoutInformation.spec.js","",""
"","4938","Produk dapat dihapus dari keranjang","chromium","Tue Aug 05 10:51:57 WIB 2025","passed","Tue Aug 05 10:52:02 WIB 2025","","detailProduct\detailProduct.spec.js","",""
"","2768","Salah username","chromium","Tue Aug 05 10:51:59 WIB 2025","passed","Tue Aug 05 10:52:02 WIB 2025","","login\login.spec.js","",""
"","3854","Finish Checkout","chromium","Tue Aug 05 10:51:55 WIB 2025","passed","Tue Aug 05 10:51:59 WIB 2025","","checkoutOverview\checkoutOverview.spec.js","",""
"","3535","User dapat Logout","chromium","Tue Aug 05 10:52:08 WIB 2025","passed","Tue Aug 05 10:52:12 WIB 2025","","sidebar\sidebar.spec.js","",""
"","8108","Semua kolom terisi","chromium","Tue Aug 05 10:51:44 WIB 2025","passed","Tue Aug 05 10:51:52 WIB 2025","","checkoutInformation\checkoutInformation.spec.js","",""
"","3035","Sorting berdasarkan Item termurah (Price low to high)","chromium","Tue Aug 05 10:52:03 WIB 2025","passed","Tue Aug 05 10:52:06 WIB 2025","","products\products.spec.js","",""
"","4195","Tidak ada kolom yang diisi","chromium","Tue Aug 05 10:51:53 WIB 2025","passed","Tue Aug 05 10:51:57 WIB 2025","","checkoutInformation\checkoutInformation.spec.js","",""
"","2815","Produk dapat ditambahkan ke dalam Keranjang","chromium","Tue Aug 05 10:52:03 WIB 2025","passed","Tue Aug 05 10:52:05 WIB 2025","","products\products.spec.js","",""
"","2744","Sorting berdasarkan Item termahal (Price high to low)","chromium","Tue Aug 05 10:52:03 WIB 2025","passed","Tue Aug 05 10:52:06 WIB 2025","","products\products.spec.js","",""
"","3331","Tanpa username & password","chromium","Tue Aug 05 10:52:02 WIB 2025","passed","Tue Aug 05 10:52:06 WIB 2025","","login\login.spec.js","",""
"","8239","Ikon Cart navigasi ke halaman Cart","chromium","Tue Aug 05 10:51:44 WIB 2025","passed","Tue Aug 05 10:51:52 WIB 2025","","checkoutComplete\checkoutComplete.spec.js","",""
"","4007","Tombol close menutup Sidebar","chromium","Tue Aug 05 10:52:06 WIB 2025","passed","Tue Aug 05 10:52:10 WIB 2025","","sidebar\sidebar.spec.js","",""
"","6998","Judul Produk navigasi ke halaman Detail Product","chromium","Tue Aug 05 10:51:44 WIB 2025","passed","Tue Aug 05 10:51:51 WIB 2025","","cart\cart.spec.js","",""
"","6118","Menu All Items navigasi ke halaman Products","chromium","Tue Aug 05 10:52:06 WIB 2025","passed","Tue Aug 05 10:52:12 WIB 2025","","sidebar\sidebar.spec.js","",""
"","9175","Tombol Checkout navigasi ke halaman Checkout","chromium","Tue Aug 05 10:51:44 WIB 2025","passed","Tue Aug 05 10:51:53 WIB 2025","","cart\cart.spec.js","",""
"","3850","Salah password","chromium","Tue Aug 05 10:51:59 WIB 2025","passed","Tue Aug 05 10:52:03 WIB 2025","","login\login.spec.js","",""
"","3122","Tanpa password","chromium","Tue Aug 05 10:52:02 WIB 2025","passed","Tue Aug 05 10:52:05 WIB 2025","","login\login.spec.js","",""
